count_point_id,year,count_date,hour,region_id,local_authority_id,road_name,road_type,start_junction_road_name,end_junction_road_name,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,all_motor_vehicles
36482,2017,09/06/2017,18,10,152,A45,Major,A4114,B4101,2,722,1,797
27151,2017,12/07/2017,18,10,152,A429,Major,B4107 Earlsdon Ave,B4113 Leamington Rd,5,673,12,723
36504,2017,05/10/2017,9,10,152,A4600,Major,B4082 Clifford Bridge Rd,B4082 Woodway Lane,3,845,15,989
36504,2017,05/10/2017,10,10,152,A4600,Major,B4082 Clifford Bridge Rd,B4082 Woodway Lane,0,687,11,819
36504,2017,05/10/2017,11,10,152,A4600,Major,B4082 Clifford Bridge Rd,B4082 Woodway Lane,5,797,11,956
36504,2017,05/10/2017,12,10,152,A4600,Major,B4082 Clifford Bridge Rd,B4082 Woodway Lane,6,822,15,965
36504,2017,05/10/2017,13,10,152,A4600,Major,B4082 Clifford Bridge Rd,B4082 Woodway Lane,6,928,13,1065
36504,2017,05/10/2017,14,10,152,A4600,Major,B4082 Clifford Bridge Rd,B4082 Woodway Lane,5,866,18,996
36504,2017,05/10/2017,15,10,152,A4600,Major,B4082 Clifford Bridge Rd,B4082 Woodway Lane,6,943,14,1090
36504,2017,05/10/2017,16,10,152,A4600,Major,B4082 Clifford Bridge Rd,B4082 Woodway Lane,7,1153,13,1277
36504,2017,05/10/2017,17,10,152,A4600,Major,B4082 Clifford Bridge Rd,B4082 Woodway Lane,8,1245,13,1380
36504,2017,05/10/2017,18,10,152,A4600,Major,B4082 Clifford Bridge Rd,B4082 Woodway Lane,5,1139,11,1239
6490,2016,01/07/2016,7,10,152,A4600,Major,B4082 Woodway Lane,Parkway roundabout,1,686,4,792
6490,2016,01/07/2016,8,10,152,A4600,Major,B4082 Woodway Lane,Parkway roundabout,5,873,1,967
6490,2016,01/07/2016,9,10,152,A4600,Major,B4082 Woodway Lane,Parkway roundabout,2,589,5,713
6490,2016,01/07/2016,10,10,152,A4600,Major,B4082 Woodway Lane,Parkway roundabout,2,614,3,734
6490,2016,01/07/2016,11,10,152,A4600,Major,B4082 Woodway Lane,Parkway roundabout,8,680,4,786
6490,2016,01/07/2016,12,10,152,A4600,Major,B4082 Woodway Lane,Parkway roundabout,2,760,6,864
6490,2016,01/07/2016,13,10,152,A4600,Major,B4082 Woodway Lane,Parkway roundabout,1,787,4,909
6490,2016,01/07/2016,14,10,152,A4600,Major,B4082 Woodway Lane,Parkway roundabout,5,823,5,960
6490,2016,01/07/2016,15,10,152,A4600,Major,B4082 Woodway Lane,Parkway roundabout,2,888,7,998
6490,2016,01/07/2016,16,10,152,A4600,Major,B4082 Woodway Lane,Parkway roundabout,3,1019,8,1137
6490,2016,01/07/2016,17,10,152,A4600,Major,B4082 Woodway Lane,Parkway roundabout,4,1077,7,1174
6490,2016,01/07/2016,18,10,152,A4600,Major,B4082 Woodway Lane,Parkway roundabout,3,811,4,878
6490,2016,01/07/2016,7,10,152,A4600,Major,B4082 Woodway Lane,Parkway roundabout,8,871,3,980
6490,2016,01/07/2016,8,10,152,A4600,Major,B4082 Woodway Lane,Parkway roundabout,1,866,5,995
6490,2016,01/07/2016,9,10,152,A4600,Major,B4082 Woodway Lane,Parkway roundabout,2,612,4,722
6490,2016,01/07/2016,10,10,152,A4600,Major,B4082 Woodway Lane,Parkway roundabout,4,465,4,553
6490,2016,01/07/2016,11,10,152,A4600,Major,B4082 Woodway Lane,Parkway roundabout,2,601,4,714
37731,2016,21/04/2016,7,10,152,A4053,Major,B4101 Butts Rd,A429,8,1542,7,1793
37731,2016,21/04/2016,8,10,152,A4053,Major,B4101 Butts Rd,A429,6,2459,10,2797
37731,2016,21/04/2016,9,10,152,A4053,Major,B4101 Butts Rd,A429,3,1404,2,1669
37731,2016,21/04/2016,10,10,152,A4053,Major,B4101 Butts Rd,A429,5,1255,0,1520
37731,2016,21/04/2016,11,10,152,A4053,Major,B4101 Butts Rd,A429,6,1323,3,1585
37731,2016,21/04/2016,12,10,152,A4053,Major,B4101 Butts Rd,A429,10,1486,3,1740
16467,2016,27/06/2016,7,10,152,A4600,Major,Longfellow Rd,B4082,7,904,13,1006
17595,2016,07/09/2016,7,10,152,A4053,Major,A4114,B4101 Butts Rd,8,1430,6,1611
17595,2016,07/09/2016,8,10,152,A4053,Major,A4114,B4101 Butts Rd,9,1894,11,2149
17595,2016,07/09/2016,9,10,152,A4053,Major,A4114,B4101 Butts Rd,3,1243,3,1501
17595,2016,07/09/2016,10,10,152,A4053,Major,A4114,B4101 Butts Rd,6,1203,0,1465
17595,2016,07/09/2016,11,10,152,A4053,Major,A4114,B4101 Butts Rd,9,1317,1,1594
17595,2016,07/09/2016,12,10,152,A4053,Major,A4114,B4101 Butts Rd,9,1490,0,1776
17595,2016,07/09/2016,13,10,152,A4053,Major,A4114,B4101 Butts Rd,16,1498,1,1780
17595,2016,07/09/2016,14,10,152,A4053,Major,A4114,B4101 Butts Rd,15,1688,9,1968
17595,2016,07/09/2016,15,10,152,A4053,Major,A4114,B4101 Butts Rd,15,1907,4,2203
17595,2016,07/09/2016,16,10,152,A4053,Major,A4114,B4101 Butts Rd,17,2367,5,2665
17595,2016,07/09/2016,17,10,152,A4053,Major,A4114,B4101 Butts Rd,14,2478,0,2700
17595,2016,07/09/2016,18,10,152,A4053,Major,A4114,B4101 Butts Rd,9,1945,5,2097
16446,2016,12/09/2016,7,10,152,A45,Major,B4101,A429,16,1536,14,1783
37731,2016,21/04/2016,13,10,152,A4053,Major,B4101 Butts Rd,A429,17,1623,3,1886
37731,2016,21/04/2016,14,10,152,A4053,Major,B4101 Butts Rd,A429,14,1680,14,1971
37731,2016,21/04/2016,15,10,152,A4053,Major,B4101 Butts Rd,A429,19,2283,6,2571
37731,2016,21/04/2016,16,10,152,A4053,Major,B4101 Butts Rd,A429,20,2817,5,3108
37731,2016,21/04/2016,17,10,152,A4053,Major,B4101 Butts Rd,A429,24,2888,6,3132
37731,2016,21/04/2016,18,10,152,A4053,Major,B4101 Butts Rd,A429,7,2314,5,2463
37731,2016,21/04/2016,7,10,152,A4053,Major,B4101 Butts Rd,A429,22,2261,2,2539
37731,2016,21/04/2016,8,10,152,A4053,Major,B4101 Butts Rd,A429,12,2118,4,2344
37731,2016,21/04/2016,9,10,152,A4053,Major,B4101 Butts Rd,A429,6,1296,11,1569
37731,2016,21/04/2016,10,10,152,A4053,Major,B4101 Butts Rd,A429,7,1110,5,1311
37731,2016,21/04/2016,11,10,152,A4053,Major,B4101 Butts Rd,A429,10,1063,3,1283
